Marque,Libelle_modele,Modele,Energie,Cylindree,Poids_a_vide,Essai_CO2_type_1,Essai_HC,Essai_Nox,Essai_HCNox,Prix_vehicule,PGR_CO2,PGR_HC,PGR_cumul
RENAULT,KANGOO,KANGOO,ESSENCE,1332,1519,0.234,0.012,0.022,,31000,0.234,0.3,0.534
DS,DS_7_CROSSBACK,7_CROSSBACK,ELEC+ESSENC_HR,1598,1760,0.46,0.015,0.016,,57560,0.46,0.375,0.835
RENAULT,AUSTRAL,AUSTRAL,ESS+ELEC_HNR,1199,1421,0.439,0.024,0.018,,33000,0.439,0.6,1.039
B.M.W.,SERIE_2,218,ESSENCE,1499,1470,0.204,0.007,0.009,,36688,0.204,0.17500000000000002,0.379
RENAULT,KADJAR,KADJAR,ESSENCE,1332,1353,0.162,0.015,0.013,,33500,0.162,0.375,0.537
SKODA,OCTAVIA,OCTAVIA,GAZOLE,1968,1386,0.026,0.008999999999999998,0.028,0.037,35218,0.026,0.22499999999999995,0.25099999999999995
B.M.W.,SERIE_X,X5,ELEC+GAZOLE_HR,2993,2190,0.141,0.018000000000000002,0.045,0.063,79017,0.141,0.45000000000000007,0.5910000000000001
JEEP,COMPASS,COMPASS,ELEC+ESSENC_HR,1332,1860,0.326,0.033,0.019,,50100,0.326,0.8250000000000001,1.151
RENAULT,ARKANA_E_TECH,ARKANA,ESS+ELEC_HNR,1598,1435,0.383,0.02,0.003,,35656,0.383,0.5,0.883
RENAULT,ARKANA,ARKANA,ESS+ELEC_HNR,1332,1336,0.307,0.011,0.021,,33288,0.307,0.27499999999999997,0.582
MINI,MINI,CLUBMAN,ESSENCE,1499,1335,0.217,0.021,0.015,,34014,0.217,0.525,0.742
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1457,0.312,0.015,0.024,,42920,0.312,0.375,0.687
RENAULT,AUSTRAL,AUSTRAL,ESS+ELEC_HNR,1199,1421,0.439,0.024,0.018,,34650,0.439,0.6,1.039
B.M.W.,SERIE_X,X3,ELEC+GAZOLE_HR,1995,1840,0.165,0.044000000000000004,0.025,0.069,59100,0.165,1.1,1.2650000000000001
VOLKSWAGEN,TIGUAN,TIGUAN,ELEC+ESSENC_HR,1395,1744,0.213,0.013,0.011,,50806,0.213,0.325,0.538
