Code_ATC2,Libelle_ATC2,Taux_de_remboursement,date,Base_de_remboursement,Montant_remboursé,Nombre_de_boites_remboursées
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-01-01,315120.25,315120.25,110516.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-02-01,308886.2,308886.2,107700.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-03-01,368405.72,368405.72,127223.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-04-01,340894.06,340894.06,117039.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-05-01,306747.14,306747.14,105068.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-06-01,357647.45,357647.45,122320.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-07-01,327764.95,327764.95,112489.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-08-01,300900.39,300900.39,102162.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-09-01,331113.52,331113.52,112286.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-10-01,323871.32,323871.32,110758.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-11-01,330319.29,330319.29,113472.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2021-12-01,338377.86,338377.86,114597.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-01-01,308439.59,308439.59,106104.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-02-01,306826.34,306826.34,106307.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-03-01,359510.0,359510.0,124890.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-04-01,307031.74,307031.74,108245.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-05-01,332595.47,332595.47,117016.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-06-01,329908.5,329908.5,114901.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-07-01,312066.59,312066.59,108118.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-08-01,303965.43,303965.43,103096.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-09-01,320527.58,320527.58,111203.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-10-01,308820.27,308820.27,109016.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-11-01,310280.53,310280.53,109751.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2022-12-01,315842.81,315842.81,110510.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-01-01,321541.31,321541.31,113808.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-02-01,274741.23,274741.23,99889.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-03-01,306223.31,306223.31,111446.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-04-01,270316.73,270316.73,97846.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-05-01,303428.36,303428.36,107410.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-06-01,329256.31,329256.31,115332.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-07-01,311587.21,311587.21,107347.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-08-01,287922.49,287922.49,98050.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-09-01,288798.27,288798.27,101971.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-10-01,309381.66,309381.66,109154.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-11-01,282060.1,282060.1,100196.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2023-12-01,276462.06,276462.06,98484.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-01-01,297307.11,297307.11,104961.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-02-01,272244.65,272244.65,98298.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-03-01,275095.33,275095.33,98423.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-04-01,292656.57,292656.57,102244.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-05-01,286468.67,286468.67,98078.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-06-01,285027.09,285027.09,96423.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-07-01,322840.44,322840.44,108036.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-08-01,248026.93,248026.93,83660.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-09-01,274795.26,274795.26,95233.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-10-01,306386.93,306386.93,106574.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-11-01,259755.01,259755.01,91778.0
A01,PREPARATIONS STOMATOLOGIQUES,100%,2024-12-01,286539.13,286539.13,99951.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-01-01,3401841.49,646362.38,1660619.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-02-01,3700320.4,693546.69,1783043.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-03-01,4271332.82,801827.63,2040896.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-04-01,3877887.0,726598.44,1849104.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-05-01,3427809.17,642238.55,1640683.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-06-01,4067769.51,761943.27,1934463.0
A01,PREPARATIONS STOMATOLOGIQUES,non à 100%,2021-07-01,3675696.36,695248.32,1735210.0
