Code_ATC4,Libelle_ATC4,Taux_de_remboursement,date,Base_de_remboursement,Montant_remboursé,Nombre_de_boites_remboursées
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-01-01,38026.38,38026.38,3838
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-02-01,36282.77,36282.77,3677
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-03-01,42020.64,42020.64,4284
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-04-01,39103.72,39103.72,3961
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-05-01,36733.52,36733.52,3680
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-06-01,40866.74,40866.74,4167
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-07-01,37623.56,37623.56,3802
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-08-01,35427.33,35427.33,3584
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-09-01,39315.25,39315.25,3961
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-10-01,38781.54,38781.54,3949
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-11-01,37614.18,37614.18,3794
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2021-12-01,40188.29,40188.29,4061
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2022-01-01,35753.31,35753.31,3643
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2022-02-01,34298.22,34298.22,3504
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2022-03-01,42013.28,42013.28,4257
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2022-04-01,35378.9,35378.9,3576
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2022-05-01,39469.7,39469.7,4024
A01AA,MEDICAMENTS PROPHYLACTIQUES ANTICARIES,100%,2022-06-01,38766.96,38766.96,3910
